cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p1
cty17131,"Mercer County, IL",
cty17133,"Monroe County, IL",
cty17141,"Ogle County, IL",17513.76
cty17137,"Morgan County, IL",16994.002
cty17135,"Montgomery County, IL",15551.106
cty17139,"Moultrie County, IL",
cty17147,"Piatt County, IL",
cty17149,"Pike County, IL",
cty17153,"Pulaski County, IL",
cty17161,"Rock Island County, IL",16263.49
cty17165,"Saline County, IL",14067.615
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty17179,"Tazewell County, IL",15525.416
cty17181,"Union County, IL",
cty17183,"Vermilion County, IL",13999.512
cty17185,"Wabash County, IL",
cty17187,"Warren County, IL",14044.433
cty17189,"Washington County, IL",
cty17191,"Wayne County, IL",16204.23
cty17193,"White County, IL",
cty17197,"Will County, IL",20358.414
cty18073,"Jasper County, IN",19194.285
cty18037,"Dubois County, IN",18827.01
cty17203,"Woodford County, IL",18525.344
cty18057,"Hamilton County, IN",18512.068
cty18029,"Dearborn County, IN",18422.262
cty18071,"Jackson County, IN",17118.918
cty18011,"Boone County, IN",16976.232
cty18063,"Hendricks County, IN",16844.338
cty17195,"Whiteside County, IL",16640.318
cty17201,"Winnebago County, IL",16317.864
cty18001,"Adams County, IN",16000.052
cty18003,"Allen County, IN",15914.536
cty18047,"Franklin County, IN",15732.283
cty18081,"Johnson County, IN",15607.144
cty18019,"Clark County, IN",15586.282
cty18051,"Gibson County, IN",15353.002
cty18059,"Hancock County, IN",15294.048
cty18061,"Harrison County, IN",14882.308
cty18049,"Fulton County, IN",14182.142
cty18043,"Floyd County, IN",14030.875
cty18045,"Fountain County, IN",13924.535
cty17199,"Williamson County, IL",13901.827
cty18039,"Elkhart County, IN",11652.035
cty18035,"Delaware County, IN",11285.3
cty18005,"Bartholomew County, IN",10382.676
cty18007,"Benton County, IN",
cty18009,"Blackford County, IN",12481.173
cty18013,"Brown County, IN",
cty18017,"Cass County, IN",15408.33
cty18015,"Carroll County, IN",13901.044
cty18053,"Grant County, IN",13721.441
